Эт азыктарын керектөө copy
"Сиздин жаш курактагы тобыңуз кайсы? 
(К какой возрастной группе вы относитесь?)","Сиздин жынысыңыз кайсы?﻿
(Ваш пол?)","Сиз жумасына канча күн эт жейсиз? 
(Сколько дней в неделю вы употребляете мясо?)","Кайсы эт түрлөрүн адатта жейсиз?﻿ 
(Какие виды мяса вы обычно употребляете?﻿)","Этти негизи каяктан аласынар?
(Какой ваш основной источник мяса?","Эттин булагы (мисалы, жергиликтүү, органикалык, фермада өстүрүлгөн) сиздин сатып алуу чечимиңизде канчалык маанилүү?﻿ 
(Насколько важен источник мяса (например, местное, органическое, фермерское) при принятии решения о покупке?﻿)","Эт керектөөнүн айлана-чөйрөгө тийгизген таасири жөнүндө тынчсызданасызбы?﻿ 
(Вас беспокоит влияние потребления мяса на окружающую среду?﻿)","Жергиликтүү фермерлерден же өндүрүүчүлөрдөн этти канчалык тез-тез сатып аласыз?﻿ 
(Как часто вы покупаете мясо у местных фермеров или производителей?﻿)","Эт керектөөнү азайтууну ойлонуп көрөсүзбү?﻿ 
(Вы рассматриваете возможность сократить потребление мяса?﻿)","Сиз эт керектөөнү азайтууну ден соолук же айлана-чөйрө үчүн ойлонуп жатасызбы?﻿ 
(Вы рассматриваете сокращение потребления мяса по причинам, связанным со здоровьем или окружающей средой?﻿)","Сиз же жакын туугандарыңыз Кыргызстанда айылда же фермада жашайбы?﻿ 
(Вы или ваши близкие родственники живёте в деревне или на ферме в Кыргызстане?﻿)","Сиз билген үй-бүлө кышында жылытуу же тамак бышыруу үчүн тезек колдонобу?﻿ 
(Использует ли знакомое вам хозяйство навоз скота как топливо для отопления или приготовления пищи зимой?﻿)","Тезек колдоноoрдон мурун кантип иштетишет?﻿
(Как обрабатывают навоз животных перед использованием в качестве топлива?﻿)","Тезек жасап жатканда башка материалдар (мисалы, саман) менен аралаштырасынарбы?﻿ 
(Смешивает ли хозяйство навоз с другими материалами (например, соломой) при формировании топливных лепёшек?﻿)","Тезекти отун катары колдонгондо жыгач же көмүргө салыштырмалуу болжолдуу канча акча үнөмдөйт? (Сумманы сом менен көрсөтүңүз)﻿ 
(Какова предполагаемая экономия средств при использовании навоза в качестве топлива вместо дров или угля? (Укажите сумму в сомах)﻿)","Малдарга эмне тамак беришет?﻿ 
(Чем кормят скот?﻿)","Тамак-аш калдыктарын малга берген үчүн үй-бүлөнүн чыгымдары азайат деп ойлойсузбу?﻿
 (Считаете ли вы, что кормление скота пищевыми отходами снижает расходы на корм в хозяйстве?﻿)","Тамак-аш калдыктарын малга берерден мурун атайын иштетүү (мисалы: майдалоо, ачытуу) жүргүзүлөбү?﻿ 
(Применяются ли специальные методы обработки (например, измельчение, ферментация) кухонных отходов перед кормлением скота?﻿)","Кыргызстанда колдонулган башка туруктуу салттуу тажрыйбаларды билесизби?﻿ 

(Знаете ли вы о других устойчивых традиционных практиках, применяемых в Кыргызстане?﻿)","Эгер сиз шаарда жашасаңыз, бул тажрыйбалар тууралуу туугандарыңыздан канчалык көп угасыз?﻿
 (Если вы живёте в городе, как часто вы узнаёте об этих практиках от родственников?﻿)","Сиз ушул салттуу тажрыйбаларды өзүңүз байкадыңызбы же жардам бердиңизби? (Ооба/Жок; кайсынысын көрсөтүңүз)﻿ 
(Вы лично наблюдали или помогали в традиционных практиках? (Да/Нет; укажите, каких)﻿)","Бул тезек, калдыктарды колдонуу, же башка туруктуу тажрыйбалар белгилүү учурларда же майрамдарда үйрөтүлөбү?﻿
(Обучают ли этим практикам использования навоза и отходов или другим устойчивым практикам в определённые сезоны или на фестивалях?﻿)","Үй-бүлөдө тезек же компост жасоону ким көзөмөлдөйт?﻿
(Кто в семье обычно отвечает за изготовление тезеков или компоста?﻿)","Бул тажрыйбалар кантип муундан муунга өткөрүлөт?﻿
(Каким образом эти навыки передаются из поколения в поколение?﻿)","Бул тажрыйбаларды кеңири жайылтуу керек деп ойлойсузбу?﻿

(Считаете ли вы, что эти практики следует продвигать для более широкого применения?﻿)","Tезек жасоо, компост жасоо, же башка салттуу туруктуу тажрыйбалар боюнча үйронүү үчүн семинарларга катышууну же колдонгонду үйронүүнү каалайт белеңиз?﻿ 

(Хотели бы вы изучать или поддерживать общественные мастер-классы по производству топлива из навоза, компостированию или другим традиционным устойчивым практикам?﻿)","Сиздин оюңузча, тезек жана калдыктарга негизделген салттуу жана туруктуу тажрыйбаларды Кыргызстан боюнча кантип кеңири жайылтса болот?﻿ 
(Как вы считаете, как можно масштабировать традиционные устойчивые практики, основанные на навозе и отходах, по всему Кыргызстану?﻿)"
18-25,Эркек (мужской),5-6 күн (5-6 дня),Уй эти (говядина);Тоок эти (курица),базарлар (местные рынки),4,Жок (Нет),Дайыма (регулярно),Жок (нет),Ден соолук (здоровье),Ооба (да),Ооба (да),Кургатуу (сушка),Ооба (да),?,Жашылча же жемиш кабыктары (овощные или фруктовые очистки );чөп жана буудай  (сено и пшеница );калган нан  (остатки хлеба ),Балким (возможно),Ооба (да),?,1,Da,Балким (возможно),Эркектер  (мужчины ),Kол менен үйрөтүү  (обучение на практике ),Балким (возможно),Жок (нет),?
36-45,Аял (женский),5-6 күн (5-6 дня),Уй эти (говядина);Тоок эти (курица);Кой эти (баранина);Жылкы эти (конина),супермаркеттер (супермаркеты),3,Балким (Возможно),Кээде (иногда),Балким (возможно),Ден соолук (здоровье),Ооба (да),Ооба (да),Кургатуу (сушка),Жок (нет),Коп эле,Жашылча же жемиш кабыктары (овощные или фруктовые очистки );үйдөгү тамак калдыктары  (пищевые отходы из дома );бакча калдыктары  (садовые остатки );чөп жана буудай  (сено и пшеница ),Ооба (да),Жок (нет),Жок,3,Жок,Жок (нет),Эркектер  (мужчины ),Kол менен үйрөтүү  (обучение на практике ),Ооба (да),Ооба (да),Жазып
36-45,Аял (женский),3-4 күн (3-4 дня),Уй эти (говядина),мал базар (скотный рынок),5,Ооба (Да),Кээде (иногда),Жок (нет),Ден соолук (здоровье),Ооба (да),Ооба (да),Кургатуу (сушка),Ооба (да),Не знаю ,Жашылча же жемиш кабыктары (овощные или фруктовые очистки ),Балким (возможно),Балким (возможно),Жок,4,Нет,Балким (возможно),Эркектер  (мужчины ),Kол менен үйрөтүү  (обучение на практике ),Ооба (да),Жок (нет),Не знаю 
46-60,Эркек (мужской),күн сайын (eжедневно),Уй эти (говядина);Тоок эти (курица);Кой эти (баранина);Жылкы эти (конина),супермаркеттер (супермаркеты),5,Жок (Нет),Кээде (иногда),Жок (нет),Ден соолук (здоровье),Ооба (да),Ооба (да),Кургатуу (сушка),Жок (нет),1000сом,чөп жана буудай  (сено и пшеница ),Ооба (да),Ооба (да),Ооба ,5,Да ,Балким (возможно),Эркектер  (мужчины ),Kол менен үйрөтүү  (обучение на практике ),Ооба (да),Ооба (да),Интернет 
26-35,Аял (женский),3-4 күн (3-4 дня),Уй эти (говядина);Тоок эти (курица);Чочконун эти (свинина);Жылкы эти (конина);Рыба,супермаркеттер (супермаркеты),3,Ооба (Да),Кээде (иногда),Ооба (да),Айлана-чөйрө (окружающая среда),Жок (нет),Жок (нет),Не знаю ,Балким (возможно),Не знаю ,Не знаю ,Ооба (да),Балким (возможно),Нет,1,Нет,Балким (возможно),Эркектер  (мужчины ),Не знаю,Ооба (да),Жок (нет),Не знаю 
36-45,Аял (женский),күн сайын (eжедневно),Уй эти (говядина);Тоок эти (курица);Жылкы эти (конина),мал базар (скотный рынок),4,Жок (Нет),Сейрек (редко),Жок (нет),"Я не считаю что это вредно для здоровья, а касательно окружающей среды знаю, что может быть вредно.",Ооба (да),Ооба (да),Кургатуу (сушка),Жок (нет),Так билбейм ,Жашылча же жемиш кабыктары (овощные или фруктовые очистки );чөп жана буудай  (сено и пшеница ),Жок (нет),Ооба (да),Непонятно про какие практики вы имеете ввиду,5,Да,Жок (нет),Аялдар (женщины ),Kол менен үйрөтүү  (обучение на практике ),Балким (возможно),Ооба (да),"Соцсети, тренинги, видеоматериалы на ютубе"
36-45,Аял (женский),1-2 күн (1-2 дня),Уй эти (говядина),уйдо остурулгон жaныбарлар (домашние),5,Ооба (Да),Кээде (иногда),Ооба (да),Айлана-чөйрө (окружающая среда),Жок (нет),Ооба (да),Кургатуу (сушка),Жок (нет),3000c,бакча калдыктары  (садовые остатки );чөп жана буудай  (сено и пшеница ),Жок (нет),Ооба (да),Жок,4,Байкадым,Жок (нет),Карылар (пожилые),Kол менен үйрөтүү  (обучение на практике ),Ооба (да),Ооба (да),Айылдарда иштетилип атайын мекемелерде даяр куйуучу катары сатылса болот
36-45,Аял (женский),5-6 күн (5-6 дня),Уй эти (говядина);Тоок эти (курица),базарлар (местные рынки),4,Жок (Нет),Кээде (иногда),Балким (возможно),Ден соолук (здоровье),Жок (нет),Ооба (да),Кургатуу (сушка),Балким (возможно),5 тыс,Жашылча же жемиш кабыктары (овощные или фруктовые очистки );чөп жана буудай  (сено и пшеница ),Балким (возможно),Балким (возможно),Нет,3,Нет,Балким (возможно),Эркектер  (мужчины ),Kол менен үйрөтүү  (обучение на практике ),Балким (возможно),Балким (возможно),Обучение ролики на местах практики 
36-45,Аял (женский),5-6 күн (5-6 дня),Уй эти (говядина);Тоок эти (курица),супермаркеттер (супермаркеты),5,Балким (Возможно),Кээде (иногда),Балким (возможно),Ден соолук (здоровье),Жок (нет),Жок (нет),Кургатуу (сушка),Балким (возможно),Не знаю,чөп жана буудай  (сено и пшеница ),Балким (возможно),Балким (возможно),Нет,1,Нет,Балким (возможно),Эркектер  (мужчины ),Kөзөмөлдөө (байкоо)  (наблюдение ),Ооба (да),Жок (нет),Тренинги и семинары
36-45,Аял (женский),күн сайын (eжедневно),Уй эти (говядина);Тоок эти (курица);Кой эти (баранина),базарлар (местные рынки),5,Балким (Возможно),Кээде (иногда),Ооба (да),Ысырап болбошу үчүн,Ооба (да),Ооба (да),Кургатуу (сушка),Жок (нет),2000,Жашылча же жемиш кабыктары (овощные или фруктовые очистки );чөп жана буудай  (сено и пшеница ),Жок (нет),Жок (нет),Жок ,4,Өзүм,Жок (нет),Эркектер  (мужчины ),Kол менен үйрөтүү  (обучение на практике ),Ооба (да),Балким (возможно),Реклама менен
36-45,Аял (женский),күн сайын (eжедневно),Уй эти (говядина);Тоок эти (курица);Кой эти (баранина);Жылкы эти (конина),базарлар (местные рынки),5,Балким (Возможно),Кээде (иногда),Жок (нет),Айлана-чөйрө (окружающая среда),Ооба (да),Балким (возможно),Кургатуу (сушка),Балким (возможно),"Может 500 сом , в место газа",чөп жана буудай  (сено и пшеница ),Жок (нет),Балким (возможно),Жок,2,Да,Балким (возможно),Эркектер  (мужчины ),Kол менен үйрөтүү  (обучение на практике ),Балким (возможно),Жок (нет),Не думала 
36-45,Аял (женский),5-6 күн (5-6 дня),Уй эти (говядина);Тоок эти (курица),уйдо остурулгон жaныбарлар (домашние),4,Балким (Возможно),Дайыма (регулярно),Ооба (да),Ден соолук (здоровье),Ооба (да),Ооба (да),Кургатуу (сушка),Жок (нет),20000-30000,Жашылча же жемиш кабыктары (овощные или фруктовые очистки );чөп жана буудай  (сено и пшеница ),Жок (нет),Ооба (да),"Малга кышында атайын картошка, жем бышырып беришет чон казанга, туз беришет",4,"Кичинемде жардам бергем: тезек жасоо, мал багуу, тоют беруу",Жок (нет),Эркектер  (мужчины ),Kөзөмөлдөө (байкоо)  (наблюдение ),Балким (возможно),Жок (нет),"Айылдарда кадимкидей корунуш, бирок мисалы шаар тургундарына кереги деле жок го"
36-45,Аял (женский),3-4 күн (3-4 дня),Уй эти (говядина);Кой эти (баранина),уйдо остурулгон жaныбарлар (домашние),5,Балким (Возможно),Кээде (иногда),Жок (нет),Ден соолук (здоровье),Ооба (да),Ооба (да),Кургатуу (сушка),Балким (возможно),Билбейм,чөп жана буудай  (сено и пшеница ),Жок (нет),Жок (нет),Жок,1,Жок,Жок (нет),Эркектер  (мужчины ),Kөзөмөлдөө (байкоо)  (наблюдение ),Балким (возможно),Балким (возможно),Билбейм 
36-45,Аял (женский),1-2 күн (1-2 дня),Уй эти (говядина);Тоок эти (курица);Кой эти (баранина);Жылкы эти (конина),супермаркеттер (супермаркеты),5,Балким (Возможно),Кээде (иногда),Жок (нет),Ден соолук (здоровье),Ооба (да),Жок (нет),Кургатуу (сушка),Ооба (да),Незнаю,Жашылча же жемиш кабыктары (овощные или фруктовые очистки );үйдөгү тамак калдыктары  (пищевые отходы из дома );бакча калдыктары  (садовые остатки );чөп жана буудай  (сено и пшеница ),Ооба (да),Балким (возможно),Нет,1,Нет,Балким (возможно),Жаштар  (молодёжь ),Kол менен үйрөтүү  (обучение на практике ),Балким (возможно),Жок (нет),"Интернет,айыл кеңеш аркылуу"
46-60,Эркек (мужской),күн сайын (eжедневно),Уй эти (говядина);Тоок эти (курица);Кой эти (баранина);Жылкы эти (конина),базарлар (местные рынки),5,Жок (Нет),Дайыма (регулярно),Жок (нет),Ден соолук (здоровье),Ооба (да),Жок (нет),Кургатуу (сушка),Ооба (да),Нерационально ,чөп жана буудай  (сено и пшеница ),Ооба (да),Жок (нет),Нет,1,Да,Жок (нет),Аялдар (женщины ),Kол менен үйрөтүү  (обучение на практике ),Жок (нет),Ооба (да),Обучение населения 
36-45,Эркек (мужской),күн сайын (eжедневно),Уй эти (говядина),базарлар (местные рынки),5,Жок (Нет),Сейрек (редко),Жок (нет),"Ойлогон эмесмин, бирок ойлосом экөө үчүн да болмок",Жок (нет),Ооба (да),Кургатуу (сушка),Жок (нет),2000,чөп жана буудай  (сено и пшеница ),Балким (возможно),Жок (нет),Жок,1,Жок,Жок (нет),Эркектер  (мужчины ),Kөзөмөлдөө (байкоо)  (наблюдение ),Ооба (да),Ооба (да),Видеолор
36-45,Аял (женский),3-4 күн (3-4 дня),Кой эти (баранина),базарлар (местные рынки),5,Ооба (Да),Кээде (иногда),Балким (возможно),Ден соолук (здоровье),Ооба (да),Ооба (да),Кургатуу (сушка),Жок (нет),Билбейм ,чөп жана буудай  (сено и пшеница ),Жок (нет),Балким (возможно),Жок,4,Ооба ,Жок (нет),Эркектер  (мужчины ),Kол менен үйрөтүү  (обучение на практике ),Ооба (да),Жок (нет),Семинаров аркылуу
46-60,Аял (женский),күн сайын (eжедневно),Уй эти (говядина);Тоок эти (курица);Кой эти (баранина);Жылкы эти (конина),базарлар (местные рынки),5,Жок (Нет),Дайыма (регулярно),Жок (нет),Эт керектөөнү азайтуу экологияга таасир этпейт деп ойлоймун,Ооба (да),Ооба (да),Экөө тең,Балким (возможно),1 тонна көмүргө 6000 сом. 1 жылда 3-4 тонна көмүр керек. Демек 18000ден көбүрөөк жконом болот,Жашылча же жемиш кабыктары (овощные или фруктовые очистки );үйдөгү тамак калдыктары  (пищевые отходы из дома );чөп жана буудай  (сено и пшеница );калган нан  (остатки хлеба ),Балким (возможно),Ооба (да),Жок,1,Өзүм байкадым,Жок (нет),Эркектер  (мужчины ),Күнүмдүк жашоо менен эле үйрөнүшөт,Ооба (да),Жок (нет),Негизи бул  Кыргызстанда кеңири колдонулат
36-45,Аял (женский),5-6 күн (5-6 дня),Уй эти (говядина);Тоок эти (курица),супермаркеттер (супермаркеты),3,Ооба (Да),Кээде (иногда),Балким (возможно),Айлана-чөйрө (окружающая среда),Ооба (да),Ооба (да),Кургатуу (сушка),Ооба (да),угля,бакча калдыктары  (садовые остатки );чөп жана буудай  (сено и пшеница ),Жок (нет),Жок (нет),нет,3,нет,Жок (нет),Аялдар (женщины ),Kөзөмөлдөө (байкоо)  (наблюдение ),Ооба (да),Ооба (да),да
18-25,Аял (женский),5-6 күн (5-6 дня),Уй эти (говядина);Тоок эти (курица);Кой эти (баранина);Жылкы эти (конина),супермаркеттер (супермаркеты),2,Балким (Возможно),Кээде (иногда),Жок (нет),Айлана-чөйрө (окружающая среда),Ооба (да),Ооба (да),Кургатуу (сушка),Жок (нет),Билбеймин,Жашылча же жемиш кабыктары (овощные или фруктовые очистки );бакча калдыктары  (садовые остатки );чөп жана буудай  (сено и пшеница ),Ооба (да),Балким (возможно),"Оба, мисалы айбандын бараны колдуну. Терисинен ковер жасап, этин баарын жеп, соогун итке берип",3,"Ооба, тезек жана калдыктар менен",Балким (возможно),Карылар (пожилые),Kол менен үйрөтүү  (обучение на практике ),Ооба (да),Ооба (да),"Соц сеттер менен, бездн жаштарга оз салттарыбыздын канчалык керектуу жана маанилуу болгонун корсотуш керек деп ойлоймун"
